fold,epoch,train_loss,train_move_loss,train_repro_loss,train_move_acc,train_repro_acc,val_loss,val_move_loss,val_repro_loss,val_move_acc,val_repro_acc
1,1,2.172991,1.135195,1.037796,0.572747,0.615104,1.810518,0.766196,1.044322,0.717800,0.616552
1,2,1.708918,0.695831,1.013088,0.744173,0.606698,1.683457,0.651064,1.032394,0.758078,0.558539
1,3,1.647629,0.638356,1.009274,0.768418,0.590709,1.652379,0.622626,1.029753,0.780672,0.561695
1,4,1.624559,0.616275,1.008285,0.779922,0.589235,1.635379,0.605563,1.029816,0.788938,0.540053
1,5,1.610458,0.602922,1.007536,0.788278,0.582565,1.632480,0.596291,1.036190,0.799559,0.623065
1,6,1.599285,0.591864,1.007421,0.793262,0.584389,1.619915,0.583501,1.036414,0.795852,0.621863
1,7,1.589462,0.581887,1.007575,0.798871,0.585700,1.602706,0.573758,1.028948,0.801964,0.565052
1,8,1.578440,0.571302,1.007139,0.801781,0.585213,1.593067,0.564210,1.028857,0.806372,0.565403
1,9,1.568006,0.561097,1.006908,0.805653,0.585363,1.583385,0.554004,1.029382,0.809378,0.573318
1,10,1.556942,0.550010,1.006932,0.809051,0.583514,1.573317,0.543752,1.029565,0.817043,0.580732
1,11,1.544685,0.537852,1.006833,0.813173,0.584926,1.557889,0.528860,1.029029,0.815891,0.572116
1,12,1.533732,0.526907,1.006825,0.815908,0.585288,1.547727,0.518834,1.028894,0.817244,0.556535
1,13,1.523966,0.517298,1.006668,0.820568,0.584014,1.541257,0.512097,1.029160,0.826812,0.571264
1,14,1.513745,0.507179,1.006566,0.825177,0.583664,1.534400,0.502664,1.031736,0.830119,0.601673
1,15,1.504902,0.498686,1.006216,0.827587,0.585263,1.523767,0.492485,1.031282,0.829918,0.597014
1,16,1.497991,0.491947,1.006044,0.829161,0.583677,1.514547,0.486161,1.028386,0.829167,0.567757
1,17,1.492175,0.486283,1.005892,0.829836,0.584701,1.511984,0.483276,1.028708,0.830620,0.581233
1,18,1.487661,0.481910,1.005751,0.829711,0.586875,1.505328,0.477681,1.027646,0.834076,0.558539
1,19,1.482683,0.477398,1.005285,0.830848,0.587049,1.505478,0.474744,1.030734,0.834076,0.608537
1,20,1.477821,0.473136,1.004684,0.831310,0.589685,1.497536,0.470342,1.027194,0.831572,0.565503
1,21,1.473444,0.469260,1.004184,0.831260,0.592533,1.495344,0.468869,1.026475,0.834377,0.572166
1,22,1.470131,0.466073,1.004058,0.832234,0.591109,1.492421,0.465145,1.027277,0.834527,0.586744
1,23,1.466853,0.463037,1.003816,0.832471,0.590347,1.490969,0.462179,1.028790,0.833125,0.603427
1,24,1.463716,0.460098,1.003618,0.833970,0.592995,1.487011,0.460717,1.026295,0.834026,0.582085
1,25,1.461130,0.457529,1.003600,0.833983,0.591733,1.484801,0.458726,1.026075,0.834527,0.572817
1,26,1.458753,0.455432,1.003321,0.834370,0.592558,1.481865,0.455641,1.026224,0.832924,0.581835
1,27,1.457151,0.453501,1.003649,0.834745,0.592620,1.480308,0.454522,1.025786,0.834728,0.585091
1,28,1.454007,0.450511,1.003496,0.836244,0.592383,1.477937,0.451908,1.026029,0.834477,0.583488
1,29,1.451770,0.448373,1.003397,0.835582,0.592133,1.477134,0.449979,1.027155,0.834227,0.595762
1,30,1.449890,0.446485,1.003405,0.836931,0.593732,1.472471,0.447102,1.025368,0.833425,0.574370
1,31,1.447322,0.444152,1.003170,0.836818,0.591071,1.471876,0.445171,1.026705,0.835129,0.591503
1,32,1.444900,0.441868,1.003032,0.837181,0.591259,1.471642,0.445081,1.026561,0.836932,0.589149
1,33,1.442949,0.439808,1.003141,0.838167,0.592733,1.467723,0.441614,1.026109,0.835179,0.588297
1,34,1.440745,0.437605,1.003140,0.838230,0.590484,1.465505,0.439148,1.026357,0.835880,0.591754
1,35,1.438645,0.435630,1.003016,0.838117,0.593682,1.461819,0.436717,1.025102,0.836882,0.557838
1,36,1.436424,0.433209,1.003214,0.839029,0.592321,1.460308,0.434494,1.025814,0.836281,0.583488
1,37,1.433806,0.431169,1.002637,0.839704,0.593470,1.460553,0.432511,1.028042,0.837433,0.604128
