fold,epoch,train_loss,train_move_loss,train_repro_loss,train_move_acc,train_repro_acc,val_loss,val_move_loss,val_repro_loss,val_move_acc,val_repro_acc
1,1,2.110330,1.069771,1.040559,0.556434,0.583002,1.717625,0.664557,1.053068,0.733631,0.568859
1,2,1.631858,0.612455,1.019403,0.774663,0.579155,1.615317,0.578362,1.036955,0.783678,0.527579
1,3,1.570530,0.557907,1.012623,0.801169,0.576807,1.569084,0.535709,1.033375,0.812234,0.567406
1,4,1.532610,0.522566,1.010044,0.812961,0.579392,1.543233,0.509257,1.033976,0.812184,0.508792
1,5,1.504782,0.495998,1.008784,0.820555,0.576395,1.521599,0.483762,1.037837,0.820099,0.619708
1,6,1.482121,0.473790,1.008331,0.826788,0.576882,1.507779,0.469211,1.038567,0.831622,0.626321
1,7,1.465533,0.457148,1.008385,0.830523,0.577806,1.476878,0.445958,1.030920,0.832223,0.551125
1,8,1.450964,0.443354,1.007610,0.835132,0.577269,1.467543,0.437094,1.030449,0.833475,0.552728
1,9,1.440153,0.432817,1.007336,0.837255,0.577631,1.461472,0.430646,1.030826,0.830469,0.540203
1,10,1.432786,0.425360,1.007426,0.838330,0.575820,1.459094,0.427711,1.031382,0.834628,0.582486
1,11,1.424414,0.417539,1.006875,0.840228,0.578268,1.449221,0.416735,1.032487,0.838034,0.593808
1,12,1.419454,0.412778,1.006675,0.841303,0.579442,1.443392,0.412382,1.031009,0.839086,0.533390
1,13,1.414555,0.407842,1.006713,0.842602,0.577881,1.439029,0.408572,1.030457,0.839036,0.535244
1,14,1.409028,0.402590,1.006438,0.844026,0.576894,1.437712,0.406302,1.031410,0.842844,0.593457
1,15,1.403939,0.398124,1.005815,0.845762,0.579505,1.441029,0.411098,1.029931,0.844797,0.571965
1,16,1.401705,0.395925,1.005780,0.846998,0.578793,1.429939,0.398958,1.030981,0.843495,0.594559
1,17,1.396890,0.391688,1.005202,0.846724,0.579030,1.424642,0.392224,1.032418,0.843144,0.602625
1,18,1.393461,0.388132,1.005329,0.848285,0.580204,1.420564,0.390684,1.029880,0.843595,0.516257
1,19,1.391121,0.386121,1.005000,0.848810,0.580154,1.414836,0.386747,1.028089,0.845148,0.571013
1,20,1.387675,0.382705,1.004970,0.850184,0.578268,1.416711,0.388428,1.028283,0.839136,0.570913
1,21,1.385137,0.380328,1.004809,0.850958,0.581716,1.415962,0.386003,1.029959,0.845248,0.511097
1,22,1.383446,0.378790,1.004656,0.851633,0.579143,1.414490,0.387494,1.026996,0.838335,0.560794
1,23,1.381084,0.376834,1.004249,0.852182,0.580229,1.407556,0.378965,1.028591,0.849456,0.587946
1,24,1.378683,0.374303,1.004380,0.852782,0.580179,1.406500,0.378020,1.028481,0.848254,0.591754
1,25,1.377087,0.373115,1.003972,0.852469,0.581916,1.403451,0.376555,1.026896,0.847453,0.555984
1,26,1.375126,0.371537,1.003590,0.853619,0.580554,1.403092,0.376092,1.027000,0.850158,0.577927
1,27,1.374219,0.369982,1.004237,0.854006,0.582115,1.399042,0.372988,1.026053,0.847302,0.549421
1,28,1.372174,0.368168,1.004006,0.854618,0.580367,1.398950,0.371428,1.027522,0.849056,0.585542
1,29,1.370533,0.366734,1.003798,0.854730,0.581266,1.401588,0.375221,1.026367,0.849907,0.566855
1,30,1.369801,0.365859,1.003942,0.855355,0.582041,1.401325,0.374617,1.026708,0.850809,0.550273
1,31,1.368772,0.365205,1.003568,0.854993,0.581566,1.397951,0.370577,1.027374,0.847653,0.589299
1,32,1.367523,0.364116,1.003407,0.855605,0.580991,1.396096,0.367786,1.028310,0.849106,0.597766
1,33,1.366770,0.363288,1.003482,0.855879,0.582827,1.394903,0.368244,1.026659,0.851460,0.575322
1,34,1.365518,0.361918,1.003600,0.856217,0.580866,1.394298,0.366959,1.027338,0.851410,0.585291
1,35,1.364789,0.361199,1.003590,0.855580,0.582678,1.389710,0.363808,1.025902,0.850559,0.562898
1,36,1.364159,0.360757,1.003402,0.856279,0.581741,1.388657,0.362931,1.025726,0.853114,0.565403
1,37,1.362563,0.359513,1.003049,0.856854,0.582203,1.393684,0.362975,1.030708,0.851611,0.613496
1,38,1.361266,0.358168,1.003098,0.857104,0.583277,1.391949,0.362898,1.029050,0.852763,0.601423
1,39,1.360840,0.357436,1.003403,0.858003,0.581653,1.389175,0.362034,1.027141,0.850959,0.592105
1,40,1.360473,0.357348,1.003125,0.857079,0.582503,1.387362,0.362192,1.025169,0.851060,0.560693
1,41,1.358853,0.355942,1.002912,0.858178,0.580604,1.388643,0.361486,1.027157,0.851811,0.596112
1,42,1.358684,0.355495,1.003188,0.857503,0.581204,1.387944,0.359043,1.028900,0.852613,0.601924
1,43,1.356884,0.354048,1.002836,0.858178,0.584064,1.384928,0.358708,1.026220,0.851611,0.578879
1,44,1.356396,0.353335,1.003061,0.858265,0.582428,1.387465,0.361601,1.025864,0.853464,0.577626
1,45,1.355774,0.353072,1.002702,0.859102,0.582952,1.390096,0.363136,1.026960,0.852963,0.594609
1,46,1.355890,0.352903,1.002987,0.857978,0.582815,1.384810,0.356918,1.027892,0.855168,0.597415
1,47,1.354675,0.351856,1.002818,0.858690,0.584876,1.380788,0.355676,1.025112,0.854917,0.572015
